,Country Name,Continent,Country Code,years,Population,CO2,GDP/cap,AE,CO2_abs,CO2_abs_new
222,Central African Republic,Africa,CAF,2015,4493171,0.042286394,377.4229177,12.7270298,189.9999976,0.019
223,Central African Republic,Africa,CAF,2019,4745179,0.050577648,468.1175148,14.30000019,239.9999946,0.023999999
224,Canada,Americas,CAN,1990,27691138,15.14888987,21448.36196,100,419490,41.949
225,Canada,Americas,CAN,1995,29302311,15.29060285,20613.78788,100,448050,44.805
226,Canada,Americas,CAN,2000,30685730,16.75762643,24271.00206,100,514220,51.422
227,Canada,Americas,CAN,2005,32243753,17.02748527,36382.50792,100,549030.0293,54.90300293
228,Canada,Americas,CAN,2010,34004889,15.79214123,47562.08343,100,537010.0098,53.70100098
229,Canada,Americas,CAN,2015,35702908,15.64858561,43596.13554,100,558700.0122,55.87000122
230,Canada,Americas,CAN,2019,37601230,15.43061283,46328.67184,100,580210.022,58.0210022
231,Switzerland,Europe,CHE,1990,6715519,6.452219106,39607.81909,100,43330,4.333
232,Switzerland,Europe,CHE,1995,7040687,6.169852459,50155.97413,100,43440,4.344
233,Switzerland,Europe,CHE,2000,7184250,6.084142395,38952.0342,100,43710,4.371
234,Switzerland,Europe,CHE,2005,7437115,6.165024808,56546.78566,100,45849.99847,4.584999847
235,Switzerland,Europe,CHE,2010,7824909,5.777702857,77117.12601,100,45209.99908,4.520999908
236,Switzerland,Europe,CHE,2015,8282396,4.719648777,84776.14217,100,39090.00015,3.909000015
237,Switzerland,Europe,CHE,2019,8575280,4.359041462,85334.51946,100,37380.00107,3.738000107
238,Chile,Americas,CHL,1990,13274617,2.299124713,2494.526796,92.257427,30520,3.052
239,Chile,Americas,CHL,1995,14380864,2.709851091,5107.277513,95.76038361,38970,3.897
240,Chile,Americas,CHL,2000,15342350,3.286328366,5100.254133,97.93869019,50420,5.042
241,Chile,Americas,CHL,2005,16182713,3.458629046,7558.371754,97.76531219,55970.00122,5.597000122
242,Chile,Americas,CHL,2010,17062531,4.087904661,12724.10406,99.53839111,69750,6.975
243,Chile,Americas,CHL,2015,17969356,4.576124117,13495.01061,99.71484375,82230.00336,8.223000336
244,Chile,Americas,CHL,2019,18952035,4.821118299,14699.46278,100,91370.00275,9.137000275
245,China,Asia,CHN,1990,1135185000,1.914542564,317.884673,,2173360,217.336
246,China,Asia,CHN,1995,1204855000,2.563478593,609.6566792,,3088620,308.862
247,China,Asia,CHN,2000,1262645000,2.650412428,959.3724836,97.02179718,3346530,334.653
248,China,Asia,CHN,2005,1303720000,4.46770003,1753.417829,98.22442627,5824629.883,582.4629883
249,China,Asia,CHN,2010,1337705000,6.335417691,4550.453108,99.69999695,8474919.922,847.4919922
250,China,Asia,CHN,2015,1379860000,7.146449357,8016.431435,100,9861099.609,986.1099609
251,China,Asia,CHN,2019,1407745000,7.605936961,10143.8382,100,10707219.73,1070.721973
252,Cote d'Ivoire,Africa,CIV,1990,11924873,0.227256089,905.3220195,,2710,0.271
253,Cote d'Ivoire,Africa,CIV,1995,14199759,0.237327972,774.6713757,43.63125229,3370,0.337
254,Cote d'Ivoire,Africa,CIV,2000,16454660,0.394417144,1007.46739,48.68946838,6490,0.649
255,Cote d'Ivoire,Africa,CIV,2005,18354513,0.320357185,1309.591653,58.90000153,5880.000114,0.588000011
256,Cote d'Ivoire,Africa,CIV,2010,20532944,0.309259106,1701.475702,58.3014679,6349.999905,0.634999991
257,Cote d'Ivoire,Africa,CIV,2015,23226148,0.422368807,1972.545683,62.59999847,9810.00042,0.981000042
258,Cote d'Ivoire,Africa,CIV,2019,25716554,0.421129515,2276.332394,68.45955658,10829.99992,1.082999992
259,Cameroon,Africa,CMR,1990,11780086,0.246178169,1045.364362,,2900,0.29
260,Cameroon,Africa,CMR,1995,13599984,0.344118052,798.8813102,36.14777374,4680,0.468
261,Cameroon,Africa,CMR,2000,15513944,0.335826918,681.102043,41,5210,0.521
262,Cameroon,Africa,CMR,2005,17733408,0.283081514,1100.174926,47.28193283,5019.999981,0.501999998
263,Cameroon,Africa,CMR,2010,20341236,0.344620171,1352.302275,52.75955582,7010.000229,0.701000023
264,Cameroon,Africa,CMR,2015,23298376,0.363115439,1382.50979,58.5955925,8460.000038,0.846000004
265,Cameroon,Africa,CMR,2019,25876387,0.364424922,1533.095688,63.48987961,9430.000305,0.943000031
266,"Congo, Dem. Rep.",Africa,COD,1990,34612023,0.091875589,270.1305434,,3180,0.318
267,"Congo, Dem. Rep.",Africa,COD,1995,41576239,0.050750141,135.7371304,,2110,0.211
268,"Congo, Dem. Rep.",Africa,COD,2000,47105830,0.034602936,405.2162186,6.699999809,1630,0.163
269,"Congo, Dem. Rep.",Africa,COD,2005,54785894,0.040338851,218.3862267,6,2210.000038,0.221000004
270,"Congo, Dem. Rep.",Africa,COD,2010,64563853,0.04104464,334.0215777,12.74405098,2650.000095,0.26500001
271,"Congo, Dem. Rep.",Africa,COD,2015,76244532,0.042363694,497.3170391,16.14824295,3230.000019,0.323000002
272,"Congo, Dem. Rep.",Africa,COD,2019,86790568,0.036985586,596.5605701,19.10000038,3210.000038,0.321000004
273,"Congo, Rep.",Africa,COG,1990,2356740,1.357807819,1187.549772,,3200,0.32
274,"Congo, Rep.",Africa,COG,1995,2707532,0.975057728,781.5249711,,2640,0.264
275,"Congo, Rep.",Africa,COG,2000,3127420,1.390922869,1032.137576,29.09001541,4350,0.435
276,"Congo, Rep.",Africa,COG,2005,3622775,1.189695728,1835.609908,33.79999924,4309.999943,0.430999994
277,"Congo, Rep.",Africa,COG,2010,4273738,1.268210657,3076.556449,39.78862,5420.000076,0.542000008
278,"Congo, Rep.",Africa,COG,2015,4856093,1.165546016,2448.523778,44.40164948,5659.999847,0.565999985
279,"Congo, Rep.",Africa,COG,2019,5380504,1.349316017,2369.729441,48.40747452,7260.000229,0.726000023
280,Colombia,Americas,COL,1990,33102569,1.472091184,1445.32863,89.9,48730,4.873
281,Colombia,Americas,COL,1995,36421438,1.628436527,2539.912877,91.2,59310,5.931
282,Colombia,Americas,COL,2000,39629965,1.472118383,2520.481089,95.19999695,58340,5.834
283,Colombia,Americas,COL,2005,42647731,1.351537304,3414.465158,96.80000305,57639.99939,5.763999939
284,Colombia,Americas,COL,2010,45222699,1.405488898,6336.709474,96.78899384,63560.00137,6.356000137
285,Colombia,Americas,COL,2015,47520667,1.688318124,6175.87603,98.18689728,80230.00336,8.023000336
286,Colombia,Americas,COL,2019,50339443,1.609870831,6418.615783,99.75592041,81040.00092,8.104000092
287,Comoros,Africa,COM,1990,411598,0.170068854,1043.790659,,70,0.007
288,Comoros,Africa,COM,1995,475394,0.168281468,838.171684,,80,0.008
289,Comoros,Africa,COM,2000,542358,0.184380059,647.4258118,39.71535492,100,0.01
290,Comoros,Africa,COM,2005,611625,0.245248324,1069.029426,51.17955399,150.000006,0.015000001
